figure_type,figure_no,title_name,variable,variable_rename,facet_variable,flip_sign,regions,models,years,scenarios,type,x,y,facet1,facet2,linetype,color,page_filter,scales
timeseriesplot,22,Electricity Capacity - Combustion,Capacity|Electricity|Gas|w/ CCS,Gas,CCS,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,facet_variable,variable_rename,scenario,model,region,free_y
timeseriesplot,22,Electricity Capacity - Combustion,Capacity|Electricity|Gas|w/o CCS,Gas,Non-CCS,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,facet_variable,variable_rename,scenario,model,region,free_y
timeseriesplot,22,Electricity Capacity - Combustion,Capacity|Electricity|Oil|w/ CCS,Oil,CCS,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,facet_variable,variable_rename,scenario,model,region,free_y
timeseriesplot,22,Electricity Capacity - Combustion,Capacity|Electricity|Oil|w/o CCS,Oil,Non-CCS,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,facet_variable,variable_rename,scenario,model,region,free_y
timeseriesplot,23,Electricity Generation - Non-Combustion,Secondary Energy|Electricity|Nuclear,Nuclear,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,23,Electricity Generation - Non-Combustion,Secondary Energy|Electricity|Solar,Solar,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,23,Electricity Generation - Non-Combustion,Secondary Energy|Electricity|Wind,Wind,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,24,Final Energy by Fuel - Electricity,Final Energy|Coal,Coal,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,wrap,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,24,Final Energy by Fuel - Electricity,Final Energy|Gas,Gas,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,wrap,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,24,Final Energy by Fuel - Electricity,Final Energy|Oil,Oil,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,wrap,year,value,region,variable_rename,scenario,model,region,free_y
