model,scenario,variable,unit,2025,2030,2035
USREP-ReEDS,All Advanced,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1128.892345,977.6359023,900.8799441
USREP-ReEDS,All Advanced,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1701.851534,1577.893037,1441.124333
USREP-ReEDS,Constrained Deployment,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,1275.254067,950.7345211,814.0548476
USREP-ReEDS,Constrained Deployment,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1160.299946,1078.392739,1082.303114
USREP-ReEDS,Constrained Deployment,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1706.043612,1603.713339,1508.514166
USREP-ReEDS,IRA,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,1240.825693,826.8316008,666.1815082
USREP-ReEDS,IRA,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1152.134017,1037.579582,1037.94051
USREP-ReEDS,IRA,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1708.973791,1599.234761,1495.210772
USREP-ReEDS,IRA.High,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,1236.557853,809.4015284,654.6115938
USREP-ReEDS,IRA.High,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1148.649535,1031.496493,1034.028498
USREP-ReEDS,IRA.High,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1709.659276,1599.006218,1481.012909
USREP-ReEDS,IRA.Low,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,1291.588286,894.8248726,739.7199791
USREP-ReEDS,IRA.Low,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1161.042351,1052.859217,1054.352802
USREP-ReEDS,IRA.Low,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1711.081155,1603.625167,1509.778785
USREP-ReEDS,Opt-IRA.Adv,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,1164.467816,655.6181693,507.6345757
USREP-ReEDS,Opt-IRA.Adv,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1123.101957,987.1551647,966.5080578
USREP-ReEDS,Opt-IRA.Adv,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1702.875073,1576.89154,1435.007143
USREP-ReEDS,Pess-IRA.Adv,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,1234.196296,741.1633731,585.8322087
USREP-ReEDS,Pess-IRA.Adv,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1140.394727,987.3932995,912.1038108
USREP-ReEDS,Pess-IRA.Adv,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1703.834204,1581.156815,1450.404157
USREP-ReEDS,IRA,Emissions|F-gases|HFCs,Mt CO2e/yr,150,153,124
USREP-ReEDS,IRA,Emissions|F-gases|PFCs,Mt CO2e/yr,5,5,5
USREP-ReEDS,IRA,Emissions|F-gases|SF6,Mt CO2e/yr,5,4,4
USREP-ReEDS,IRA,Emissions|F-gases|NF3,Mt CO2e/yr,1,1,1
