proj_name,grouping,model,scenario,usproj_sector,gas,year,value,unit,usproj_category,usproj_source,usproj_subsource,region,datasrc,btr_var
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2036,247.045227,Mt CO2/yr,FFCCom,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Buildings|Commercial
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2036,293.770752,Mt CO2/yr,FFCRes,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Buildings|Residential
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2036,804.1572084627276,Mt CO2/yr,FFCInd,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Industry
nems_wm_lowseq,wm,OP-NEMS,wm,Transportation,CO2,2036,1301.7448840000002,Mt CO2/yr,FFCTrans,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Transportation
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2036,464.424255,Mt CO2/yr,FFCElec,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Supply|Electricity
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2036,189.97993753727243,Mt CO2/yr,FFCInd,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Supply|Petroleum Refining
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2037,246.26698300000004,Mt CO2/yr,FFCCom,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Buildings|Commercial
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2037,291.234467,Mt CO2/yr,FFCRes,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Buildings|Residential
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2037,820.0457151040289,Mt CO2/yr,FFCInd,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Industry
nems_wm_lowseq,wm,OP-NEMS,wm,Transportation,CO2,2037,1259.295952,Mt CO2/yr,FFCTrans,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Transportation
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2037,463.891083,Mt CO2/yr,FFCElec,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Supply|Electricity
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2037,186.26466389597113,Mt CO2/yr,FFCInd,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Supply|Petroleum Refining
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2038,245.25424200000003,Mt CO2/yr,FFCCom,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Buildings|Commercial
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2038,288.724914,Mt CO2/yr,FFCRes,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Buildings|Residential
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2038,828.352747274578,Mt CO2/yr,FFCInd,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Industry
